"Date time","Plan","Host","Requests","Traffic","Charged Traffic","Target Filters","Traffic in Bytes","Extra traffic in Bytes","Status","Message"
"2026-09-03 02:59 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.94 KB","8.94 KB","no","9154","0","success",""
"2026-09-03 02:58 UTC","Proxy raspagem","clientservices.googleapis.com:443","1","6.3 KB","6.3 KB","no","6455","0","success",""
"2026-09-03 02:57 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.94 KB","8.94 KB","no","9156","0","success",""
"2026-09-03 02:55 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.88 KB","8.88 KB","no","9090","0","success",""
"2026-09-03 02:53 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.85 KB","8.85 KB","no","9060","0","success",""
"2026-09-03 02:51 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.85 KB","8.85 KB","no","9058","0","success",""
"2026-09-03 02:49 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.91 KB","8.91 KB","no","9123","0","success",""
"2026-09-03 02:47 UTC","Proxy raspagem","mtalk.google.com:5228","1","8.91 KB","8.91 KB","no","9123","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","capi.dafiti.com.br:443","1","12.33 KB","12.33 KB","no","12626","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","vc.hotjar.io:443","0","63 bytes","63 bytes","no","63","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","tracking.dafiti.ads.global-fashion-group.com:443","1","11.9 KB","11.9 KB","no","12190","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","eum-orange-saas.instana.io:443","1","52.51 KB","52.51 KB","no","53773","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","cdn.jsdelivr.net:443","1","48.03 KB","48.03 KB","no","49184","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","analytics.tiktok.com:443","1","187.79 KB","187.79 KB","no","192292","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","ag.gbc.criteo.com:443","1","7.99 KB","7.99 KB","no","8186","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","stapecdn.com:443","1","14.41 KB","14.41 KB","no","14756","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","capi-automation.s3.us-east-2.amazonaws.com:443","1","71.95 KB","71.95 KB","no","73675","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","gum.criteo.com:443","1","13.6 KB","13.6 KB","no","13931","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","analytics-ipv6.tiktokw.us:443","1","11.37 KB","11.37 KB","no","11640","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","www.googletagmanager.com:443","1","709.36 KB","709.36 KB","no","726385","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","tags.creativecdn.com:443","1","9.84 KB","9.84 KB","no","10076","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","dynamic.criteo.com:443","1","31.71 KB","31.71 KB","no","32472","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","us.creativecdn.com:443","2","19.71 KB","19.71 KB","no","20185","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","static.hotjar.com:443","1","16.35 KB","16.35 KB","no","16746","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","www.dwin1.com:443","1","23.61 KB","23.61 KB","no","24181","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","secure.dafiti.com.br:443","1","50.6 KB","50.6 KB","no","51813","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","cdnjs.cloudflare.com:443","1","21.26 KB","21.26 KB","no","21773","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","product-analytics-api.eks.live.dafiti.io:443","6","67.83 KB","67.83 KB","no","69458","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","metrics.dafiti.com.br:443","2","36.44 KB","36.44 KB","no","37312","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","static.dafiti.com.br:443","6","450.85 KB","450.85 KB","no","461675","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","tag.goadopt.io:443","1","964.15 KB","964.15 KB","no","987290","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","cdn-global.configcat.com:443","1","7.04 KB","7.04 KB","no","7206","0","success",""
"2026-09-03 02:46 UTC","Proxy raspagem","pagead2.googlesyndication.com:443","2","77.55 KB","77.55 KB","no","79416","0","success",""
